iter	RMSE
0	5.100624838
1	5.099609533
2	5.09815524
3	5.097646411
4	5.096711078
5	5.096189833
6	5.095233365
7	5.094427896
8	5.093124834
9	5.091832906
10	5.090590502
11	5.089664268
12	5.088112042
13	5.086752591
14	5.086136127
15	5.084937476
16	5.083406136
17	5.082860061
18	5.081681764
19	5.080496549
20	5.079094971
21	5.078243588
22	5.077152056
23	5.076194706
24	5.075229317
25	5.074194271
26	5.073113435
27	5.071960586
28	5.07099244
29	5.070395282
30	5.069538576
31	5.068766017
32	5.06818434
33	5.067231627
34	5.066527146
35	5.065603989
36	5.064643906
37	5.063608547
38	5.062333277
39	5.061664136
40	5.060232596
41	5.059424294
42	5.058682558
43	5.057992064
44	5.056724921
45	5.05593075
46	5.055091215
47	5.05449863
48	5.053646755
49	5.052468501
50	5.051872796
51	5.050777568
52	5.049960859
53	5.048966908
54	5.047511886
55	5.046353741
56	5.045554432
57	5.044128084
58	5.043293117
59	5.042590481
60	5.041712091
61	5.040383016
62	5.03973895
63	5.038469344
64	5.037403075
65	5.036157504
66	5.035129714
67	5.034502853
68	5.033302281
69	5.032537113
70	5.031062629
71	5.0306187
72	5.02969502
73	5.028574354
74	5.027680689
75	5.02672106
76	5.025752451
77	5.025370015
78	5.024746406
79	5.02378056
80	5.0223226
81	5.02097844
82	5.020105569
83	5.019180103
84	5.018351124
85	5.017713
86	5.016956189
87	5.015804255
88	5.014863853
89	5.014288776
90	5.013381678
91	5.012450286
92	5.011378412
93	5.010328621
94	5.009324763
95	5.008721022
96	5.00757528
97	5.00710344
98	5.006559645
99	5.005492786
100	5.005063858
101	5.004596864
102	5.004024854
103	5.003398017
104	5.002750667
105	5.002136668
106	5.001328395
107	5.000661269
108	4.999976726
109	4.998725873
110	4.99811953
111	4.997253451
112	4.996302875
113	4.995809188
114	4.995218797
115	4.994333119
116	4.9938837
117	4.993273676
118	4.992573608
119	4.991490305
120	4.990523615
121	4.990062427
122	4.989216565
123	4.98811634
124	4.987155167
125	4.986240627
126	4.985438463
127	4.984450906
128	4.983595436
129	4.982379172
130	4.981312975
131	4.980451349
132	4.980108002
133	4.979140871
134	4.978234179
135	4.977671056
136	4.977141898
137	4.976636034
138	4.976031136
139	4.975459111
140	4.974563136
141	4.97370468
142	4.973048268
143	4.972513222
144	4.971542656
145	4.970885187
146	4.970218722
147	4.969682195
148	4.968859696
149	4.967880953
150	4.967135735
151	4.966412817
152	4.965980107
153	4.965029505
154	4.96430423
155	4.96341137
156	4.962811717
157	4.962394526
158	4.961481396
159	4.960893412
160	4.960182437
161	4.959700566
162	4.959103614
163	4.95862198
164	4.958179545
165	4.957517171
166	4.956625739
167	4.956374164
168	4.955802436
169	4.955037481
