iter	Passed	Remaining
0	2	2325
1	4	2201
2	6	2033
3	7	1938
4	9	1862
5	10	1808
6	12	1792
7	14	1771
8	15	1741
9	17	1736
10	19	1761
11	21	1741
12	22	1726
13	24	1700
14	32	2133
15	34	2101
16	36	2082
17	37	2063
18	39	2035
19	41	2011
20	42	1982
21	44	1964
22	45	1952
23	47	1945
24	49	1940
25	51	1941
26	53	1932
27	55	1916
28	56	1906
29	58	1893
30	60	1887
31	62	1882
32	63	1869
33	65	1863
34	67	1867
35	69	1860
36	71	1850
37	72	1841
38	74	1835
39	76	1825
40	77	1817
41	79	1808
42	80	1798
43	82	1793
44	84	1794
45	86	1788
46	87	1783
47	89	1776
48	91	1773
49	93	1767
50	94	1765
51	97	1771
52	99	1771
53	101	1770
54	102	1767
55	104	1762
56	106	1760
57	108	1760
58	110	1757
59	111	1750
60	113	1748
61	115	1744
62	116	1738
63	118	1736
64	120	1732
65	121	1725
66	123	1720
67	125	1714
68	126	1711
69	128	1706
70	130	1702
71	132	1702
72	133	1695
73	135	1693
74	137	1692
75	138	1687
76	140	1683
77	142	1678
78	144	1679
79	145	1674
80	147	1673
81	149	1673
82	151	1670
83	152	1667
84	154	1663
85	156	1661
86	158	1658
87	159	1654
88	161	1650
89	162	1646
90	164	1645
91	166	1642
92	168	1643
93	170	1639
94	172	1640
95	173	1638
96	175	1634
97	177	1633
98	179	1630
99	181	1629
100	182	1627
101	184	1623
102	186	1620
103	188	1620
104	189	1618
105	191	1617
106	193	1613
107	195	1613
108	197	1611
109	198	1608
110	200	1606
111	202	1606
112	204	1608
113	206	1606
114	208	1603
115	210	1601
116	212	1603
117	214	1601
118	216	1599
119	217	1597
120	219	1594
121	221	1592
122	223	1590
123	224	1587
124	226	1585
125	228	1585
126	230	1586
127	232	1585
128	234	1583
129	236	1581
130	238	1580
131	240	1580
132	242	1580
133	244	1582
134	246	1580
135	248	1578
136	250	1577
137	251	1573
138	253	1572
139	255	1570
140	257	1568
141	259	1565
142	260	1563
143	262	1561
144	264	1559
145	266	1556
146	267	1554
147	269	1551
148	271	1548
149	272	1545
150	274	1542
151	276	1540
152	277	1538
153	279	1535
154	281	1534
155	283	1533
156	285	1531
157	287	1529
158	288	1527
159	290	1525
160	292	1524
161	294	1522
162	296	1519
163	297	1517
164	299	1516
165	301	1514
166	303	1512
167	305	1510
168	306	1509
169	308	1507
170	310	1505
171	312	1502
172	314	1501
173	315	1499
174	317	1496
175	319	1495
176	321	1493
177	322	1491
178	324	1489
179	326	1487
180	328	1485
181	330	1484
182	332	1483
183	333	1480
184	335	1479
185	337	1478
186	339	1476
187	341	1475
188	343	1472
189	344	1470
190	347	1470
191	349	1469
192	351	1467
193	352	1466
194	354	1464
195	356	1463
196	358	1461
197	360	1459
198	362	1457
199	363	1455
200	365	1453
201	367	1450
202	368	1448
203	370	1446
204	372	1445
205	374	1444
206	376	1442
